incident_number,date_reported,date_occurred,badge_id,offense_classification,offense_code_name,nibrs_code,nibrs_group_name,was_offense_completed,lmpd_division,lmpd_beat,location_category,block_address,city,zip_code,ObjectId
LMPD24903222,11/1/2024 2:45:00 AM,11/1/2024 2:45:00 AM,8185,23 THEFT OTHER,THEFT OF MAIL MATTER 514.140 23265 23H,23H,A,YES,4TH DIVISION,411,RESIDENCE/HOME,600 BLOCK W BRECKINRIDGE ST,LOUISVILLE,40203,11968
LMPD24127681,11/1/2024 2:45:00 AM,11/1/2024 2:45:00 AM,5579,12 INTIMIDATION,HARASSMENT (NO PHYSICAL CONTACT) 525.070 02405 13C,13C,A,YES,2ND DIVISION,234,RESIDENCE/HOME,1700 BLOCK DIXDALE AVE,LOUISVILLE,40210,11969
LMPD24903218,11/1/2024 2:32:00 AM,11/1/2024 2:32:00 AM,8185,56 ALL OTHER OFFENSES,ANY NON CRIMINAL CHARGE NOT COVERED BY THESE CODES ***.*** 03013 90Z,90Z,B,YES,5TH DIVISION,512,DRUG STORE/DOCTOR'S OFFICE/HOSPITAL,900 BLOCK BAXTER AVE,LOUISVILLE,40204,11970
LMPD24127810,11/1/2024 2:30:00 AM,11/1/2024 2:30:00 AM,8402,21 THEFT FR VEH,"TBUT OR DISP CONTENTS FROM VEH $1,000 < $10,000 514.030 24142 23F",23F,A,YES,5TH DIVISION,513,HIGHWAY/ ROAD/ ALLEY/ STREET/ SIDEWALK,2500 BLOCK TALBOTT AVE,LOUISVILLE,40205,11971
LMPD24127687,11/1/2024 2:25:00 AM,10/15/2024 4:00:00 AM,5341,21 THEFT FR VEH,"TBUT OR DISP CONTENTS FROM VEH $500 < $1,000 514.030 24141 23F",23F,A,YES,7TH DIVISION,723,RESIDENCE/HOME,8700 BLOCK REDCOAT CT,LOUISVILLE,40291,11972
LMPD24127689,11/1/2024 2:17:00 AM,11/1/2024 2:17:00 AM,5605,13 BURGLARY,BURGLARY - 3RD DEGREE 511.040 22062 220,220,A,YES,6TH DIVISION,625,DEPARTMENT/DISCOUNT STORE,4000 BLOCK TAYLORSVILLE RD,LOUISVILLE,40220,11973
LMPD24127689,11/1/2024 2:17:00 AM,11/1/2024 2:17:00 AM,5605,24 VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE 512.020 01401 290,290,A,YES,6TH DIVISION,625,DEPARTMENT/DISCOUNT STORE,4000 BLOCK TAYLORSVILLE RD,LOUISVILLE,40220,11974
LMPD24127682,11/1/2024 2:13:00 AM,11/1/2024 3:00:00 AM,5362,12 INTIMIDATION,HARASSMENT (NO PHYSICAL CONTACT) 525.070 02405 13C,13C,A,YES,5TH DIVISION,521,HIGHWAY/ ROAD/ ALLEY/ STREET/ SIDEWALK,HILLCREST AVE / BROWNSBORO RD,LOUISVILLE,40206,11975
LMPD24127861,11/1/2024 2:00:00 AM,11/1/2024 2:00:00 AM,7441,23 THEFT OTHER,TBUT OR DISP FIREARM 514.030 23100 23H,23H,A,YES,7TH DIVISION,723,OTHER RESIDENCE (APARTMENT/CONDO),5500 BLOCK HAMES TRCE,LOUISVILLE,40291,11976
LMPD24127861,11/1/2024 2:00:00 AM,11/1/2024 2:00:00 AM,7441,14 AUTO THEFT,"TBUT OR DISP AUTO $10,000 < $1,000,000 514.030 24113 240",240,A,YES,7TH DIVISION,723,OTHER RESIDENCE (APARTMENT/CONDO),5500 BLOCK HAMES TRCE,LOUISVILLE,40291,11977
LMPD24127668,11/1/2024 1:50:00 AM,10/31/2024 11:40:00 PM,8646,21 THEFT FR VEH,TBUT OR DISP CONTENTS FROM VEH 514.030 24140 23F,23F,A,YES,2ND DIVISION,223,PARKING/ DROP LOT/ GARAGE,1800 BLOCK GRAND AVE,LOUISVILLE,40210,11978
LMPD24127663,11/1/2024 1:41:00 AM,10/31/2024 11:40:00 PM,8630,23 LARCENY,TBUT OR DISP ALL OTHERS 514.030 24095 23H,23H,A,YES,8TH DIVISION,811,RESIDENCE/HOME,11100 BLOCK OAK BEND CT,LOUISVILLE,40241,11979
